,Name,Cuisine_Type,Rating,Review_Count
411,Pirineu en Boca,"['Steakhouse', 'Spanish']",4.5,390
412,TocaTeca,['Bar'],4.5,415
413,Malaysian Street Delights,"['Chinese', 'Asian']",5.0,22
414,Shunka,"['Japanese', 'Sushi']",4.5,1137
415,Restaurante Seoul,"['Asian', 'Korean']",4.5,427
416,Mako,"['Japanese', 'Sushi']",4.5,311
417,My Fucking Restaurant,"['Mediterranean', 'European']",4.5,887
418,La Nina de Mis Ojos,"['Mediterranean', 'European']",4.5,361
419,La Cervesera Artesana,"['Bar', 'Pub']",4.0,189
420,Lluis de les moles,"['Mediterranean', 'European']",4.5,407
421,Pampero,"['Steakhouse', 'Latin']",4.5,972
422,Gaudim Restaurant,"['Seafood', 'Mediterranean']",4.5,1153
423,Angle Barcelona,"['Mediterranean', 'European']",4.5,670
424,Ca L' Andreu,"['Contemporary', 'Catalan']",4.5,334
425,Bella Venezia,['Italian'],5.0,102
426,The Benedict,"['Bar', 'European']",4.5,1565
427,Sensi Tapas,"['Spanish', 'Catalan']",4.5,2435
428,La Llimona,"['Mediterranean', 'European']",4.5,341
429,Mino,"['Mediterranean', 'European']",4.5,960
430,Pizza Natura,[],5.0,59
431,Bivac,"['Italian', 'Mediterranean']",5.0,3
432,Restaurante Spaccanapoli Barcelona,"['Italian', 'Pizza']",4.5,280
433,El Cubano Machin,"['Cuban', 'Latin']",5.0,133
434,La Flauta,"['Mediterranean', 'European']",4.5,3617
